,question,snippet,title,link,displayed_link,list,query,lang,country,termid
3,هل الطاقة الكهربائية طاقة متجددة؟,توليد الطاقة الكهربائية من نظم مصادر الطاقة المتجددة المربوطة على نظام التوزيع أو على نظام النقل هو انتاج الطاقة الكهربائية منها.,توليد الكهرباء من الطاقة المتجددة - هيئة تنظيم قطاع الطاقة و ...,https://emrc.gov.jo/Pages/viewpage?pageID=32,https://emrc.gov.jo › Pages › viewpage,,طاقة متجددة,ar,EG,58
0,ما هو الاحتباس الحراري؟,الاحتباس الحراري هو ارتفاع درجة الحرارة الأرض بسبب ارتفاع مستوى غاز ثاني أكسيد الكربون وغاز الميثان وبعض الغازات الأخرى في الجو، وهي الغازات الدفيئة.,الاحتباس الحراري | ما أسبابه وما آثاره وما الحلول الممكنة؟ - Twinkl,https://www.twinkl.co.uk/teaching-wiki/alahtbas-alhrary,https://www.twinkl.co.uk › alahtbas-alhrary,,الاحتباس الحراري,ar,EG,59
1,ماذا يحدث للارض عند الاحتباس الحراري؟,سيؤدي استمرار الاحتباس الحراري إلى زيادة تكثيف دورة المياه العالمية، مما يجعلها أكثر تقلبًا، وتغير هطول الأمطار الموسمية وشدة الأحداث الرطبة والجافة. مع ارتفاع انبعاثات ثاني أكسيد الكربون، ستكون المحيطات والأرض أقل فعالية في امتصاص وإبطاء تراكم ثاني أكسيد الكربون في الغلاف الجوي.,النتائج الرئيسية | الأمم المتحدة - the United Nations,https://www.un.org/ar/climatechange/science/key-findings,https://www.un.org › science › key-findings,,الاحتباس الحراري,ar,EG,59
2,ما مدى خطوره الاحتباس الحراري؟,تكمن خطورة الاحتباس الحراري وآثاره السلبية في حدة التقلبات المناخية والكوارث الطبيعية التي يمكن أن تحدث نتيجةً له، مثل الجفاف والفيضانات والإعصار وغيرها، إلى جانب ما ينتج عن ذلك من خسائر بشرية ومادية، ونقص الإنتاج الفلاحي، وحدوث المجاعات والهجرات السكانية.,كل ما عليك معرفته عن ظاهرة الاحتباس الحراري وأسبابها ...,https://www.bayut.com/mybayut/ar/%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D8%A8%D8%A7%D8%B3-%D8%A7%D9%84%D8%AD%D8%B1%D8%A7%D8%B1%D9%8A/,https://www.bayut.com › mybayut › الاحتباس-الحراري,,الاحتباس الحراري,ar,EG,59
0,ما هي الحلول لتلوث التربة؟,حلول تلوّث التربة بناء السدود حتى تخفف قوة الإنجراف، وقوة سيول المياه. زراعة الكثبان الرملية من خلال بقايا النباتات، أو من خلال رشها بالمواد المطاطيّة، وذلك حتّى نقلّل من انتقالها وتحركها. توقّف قطع الأشجار. حماية الغابات الطبيعية والكثيفة من الحرائق، ومن الرعي الجائر، ومن التحطيب.,حلول تلوث التربة - موسوعة - كله لك,https://wiki.kololk.com/wiki28025-oloom-alard-%D8%AD%D9%84%D9%88%D9%84_%D8%AA%D9%84%D9%88%D8%AB_%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D8%A9,https://wiki.kololk.com › wiki28025-oloom-alard-حلول_ت...,,تلوث التربة,ar,EG,65
1,ما هي انواع تلوث التربة؟,,مصادر تلوث التربة:,https://www.annajah.net/7-%D9%85%D8%B5%D8%A7%D8%AF%D8%B1-%D8%AE%D8%B7%D9%8A%D8%B1%D8%A9-%D9%84%D8%AA%D9%84%D9%88%D8%AB-%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D8%A9-article-22668,https://www.annajah.net › 7-مصادر-خطيرة-لتلوث-التربة...,"['الملوثات الطبيعية: ... ', 'التلوث بالمخلفات الصناعية: ... ', 'التلوّث بالمخلفات السائلة: ... ', 'التلوّث بالمبيدات الكيميائية: ... ', 'التلوث بالأسمدة الكيميائية: ... ', 'التلوث بالأمطار الحمضية: ... ', 'التلوث الإشعاعي:']",تلوث التربة,ar,EG,65
2,ما سبب تلوث التربة؟,تصاب التربة بتلوث المعادن الثقيلة كالرصاص والزئبق والكادميوم ، التي تصل إلى التربة مع النفايات التي يتم دفنها في التربة ، أو مع مياه الري الملوثة ، أو نتيجة لتساقط المركبات العالقة في الهواء لهذه المعادن ، وهي معادن شديدة السمية ، وتتركز بصورة كبيرة في أنسجة النباتات والثمار ، حيث تنتقل بدورها عبر السلسلة الغذائية ...,تلوث التربة - ويكيبيديا,https://ar.wikipedia.org/wiki/%D8%AA%D9%84%D9%88%D8%AB_%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D8%A9,https://ar.wikipedia.org › wiki › تلوث_التربة,,تلوث التربة,ar,EG,65
3,ما هي نتائج تلوث التربه؟,ويؤدي ذلك إلى فقدان التنوع البيولوجي، وبالتالي إلى فقدان الكربون في التربة وإلى تقليل ثبات مجاميع التربة، مما يزيد من قابلية التربة للتآكل وسرعة تآكلها. ولا يؤثر تلوث التربة على إنتاج الأغذية فحسب، بل يؤثر أيضا على نوعية المياه الجوفية ويعرض خدمات النظم الإيكولوجية التي توفرها التربة للخطر.,الندوة العالمية حول تلوث التربة | منظمة الأغذية والزراعة للأمم ...,https://www.fao.org/about/meetings/global-symposium-on-soil-pollution/about-the-symposium/ar/,https://www.fao.org › meetings › about-the-symposium,,تلوث التربة,ar,EG,65
0,من انواع الغازات الدفيئة؟,غاز ثاني أكسيدِ الكربون: ورمزه الكيميائي (CO2)، وينتج من احتراق الوقود الأحفوري، وأي مصدرٍ للدخان مثل عوادم السيارات. غاز أكسيدِ النيتروز ورمزه الكيميائي (N2O). غاز الميثان (بالإنجليزية: Methane)‏ ورمزه الكيميائي (CH4)، وينتج من فضلات الثروةِ الحيوانية. غاز الأوزون (بالإنجليزية: Ozone)‏ ورمزه الكيميائي (O3).,غازات دفيئة - ويكيبيديا,https://ar.wikipedia.org/wiki/%D8%BA%D8%A7%D8%B2%D8%A7%D8%AA_%D8%AF%D9%81%D9%8A%D8%A6%D8%A9,https://ar.wikipedia.org › wiki › غازات_دفيئة,,غازات دفيئة,ar,EG,66
1,ما هي غازات الدفيئة ولماذا اطلق عليها هذا الاسم؟,الغازات الدفيئة أو غازات البيت الزجاجي هي مجموعة من الغازات التي توجد في الغلاف الجوي، وقد تم وضعها تحت هذا الإسم لقيامها بامتصاص الاشعة تحت الحمراء التي تقوم الأرض بإشعاعها أو عكسها مما يقلل من كمية الطاقة الحراريّة المفقودة من الأرض وبالتالي زيادة درجة حرارة الغلاف الجوي والأرض بشكل عام.,تعرف على ما هى الغازات الدفيئة - موسوعة - كله لك,https://wiki.kololk.com/wiki74342-oloom-alard-%D8%AA%D8%B9%D8%B1%D9%81_%D8%B9%D9%84%D9%89_%D9%85%D8%A7_%D9%87%D9%89_%D8%A7%D9%84%D8%BA%D8%A7%D8%B2%D8%A7%D8%AA_%D8%A7%D9%84%D8%AF%D9%81%D9%8A%D8%A6%D8%A9,https://wiki.kololk.com › wiki74342-oloom-alard-تعرف_...,,غازات دفيئة,ar,EG,66
2,ما معنى كلمة الغازات الدفيئة؟,المعجم الغازات المستمدة من احتراق الوقود الأحفوري أو الخشب مثل ثاني اكسيد الكربون التي تتركز في الغلاف الجوي من خلال تشكيل غشاء يلتقط مكونات الطاقة من الأشعة الشمسية التي تعكسها الأرض، وبالتالي تضخيم ظاهرة الاحتباس الحراري مما يتسبب في ارتفاع درجة حرارة الهواء المحيط بالأرض.,المصطلحات - انبعاثات غازات الدفيئة,http://www.environnement.gov.tn/index.php/ar/glossaires-ar/gaz-a-effet-de-serre-ar,http://www.environnement.gov.tn › gaz-a-effet-de-serre-ar,,غازات دفيئة,ar,EG,66
0,ما هي عدوى المستشفيات؟,تعرف عدوى المستشفيات (Nosocomial Infection) على أنها عدوى أو إنتان يكتسبه المريض بعد دخوله إلى المستشفى (أي أن الشخص لم يكن مصاباً به عند دخوله المستشفى) ولا تظهر إلا بعد 72 ساعة أو أكثر من دخوله إليه.02‏/09‏/2015,عدوى المستشفيات : خطر يمكن تجنبه - منظمة المجتمع العلمي ...,https://arsco.org/article-detail-736-8-0,https://arsco.org › article-detail-736-8-0,,عدوى,ar,EG,68
1,ما هو عدوي في الجسم؟,تحدث العدوى، وتعد غالبًا الخطوة الأولى، عندما تدخل البكتيريا أو الفيروسات أو الميكروبات الأخرى المسببة للمرض إلى الجسم وتبدأ بالتكاثر. ثم يحدث المرض عندما تتلف خلايا بالجسم — نتيجة للعدوى — وتظهر مؤشرات المرض وأعراضه. ويتفاعل الجهاز المناعي استجابةً للعدوى.,الجراثيم: تعرف على البكتيريا والفيروسات والعدوى، واحمِ ...,https://www.mayoclinic.org/ar/diseases-conditions/infectious-diseases/in-depth/germs/art-20045289,https://www.mayoclinic.org › germs › art-20045289,,عدوى,ar,EG,68
2,ما هي أنواع العدوي؟,,تشمل العدوى الناتجة عن البكتيريا ما يلي: التهاب الحلق العقدي السل عدوى المسالك البولية...الفيروسات,https://www.mayoclinic.org/ar/diseases-conditions/infectious-diseases/expert-answers/infectious-disease/faq-20058098,https://www.mayoclinic.org › faq-20058098,"['الجديري المائي', 'الإيدز', 'نزلات البرد']",عدوى,ar,EG,68
3,هل العدوي خطيرة؟,وتؤدي حالات العدوى هذه إلى الوفاة غالبًا.,لمحة عامة عن حالات العدوى الفيروسيَّة - MSD Manuals,https://www.msdmanuals.com/ar/home/%D8%AD%D8%A7%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D9%8E%D8%AF%D9%88%D9%89/%D9%84%D9%85%D8%AD%D8%A9-%D8%B9%D8%A7%D9%85%D9%91%D8%A9-%D8%B9%D9%86-%D8%AD%D8%A7%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D8%AF%D9%88%D9%89-%D8%A7%D9%84%D9%81%D9%8A%D8%B1%D9%88%D8%B3%D9%8A%D9%91%D9%8E%D8%A9/%D9%84%D9%85%D8%AD%D8%A9-%D8%B9%D8%A7%D9%85%D8%A9-%D8%B9%D9%86-%D8%AD%D8%A7%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D8%AF%D9%88%D9%89-%D8%A7%D9%84%D9%81%D9%8A%D8%B1%D9%88%D8%B3%D9%8A%D9%91%D9%8E%D8%A9,https://www.msdmanuals.com › home › حالات-العَدوى,,عدوى,ar,EG,68
0,ما اسم الفيضان؟,كلمة «الفيضان» يأتي من الإنجليزية القديمة flood، كلمة مشتركة بين اللغات الجرمانية (قارن Flut الألمانية، والهولندية vloed لها نفس الاصل كما هو في تدفق تعويم). مصطلح «الفيضان» المحدد بحروف كبيرة، وعادة ما يشير إلى الطوفان العظيم العالمي الذي وصف في الكتاب المقدس، سفر التكوين، القرآن الكريم والذي يعامل مثل الطوفان.,فيضان - ويكيبيديا,https://ar.wikipedia.org/wiki/%D9%81%D9%8A%D8%B6%D8%A7%D9%86,https://ar.wikipedia.org › wiki › فيضان,,الفيضان,ar,EG,70
1,متى يحدث الفيضان؟,ويحدث الفيضان عادة عندما لا تستطيع التربة امتصاص كل المياه التي تمر عبرها، عندها تمر المياه بكميات كبيرة تعجز عن حملها الأنهار والجداول والقنوات المائية فتفيض عن جوانبها. وهناك فيضانات موسمية تحدث بصورة طبيعية للكثير من الأنهار نتيجة سقوط الأمطار الغزيرة مع ذوبان الثلوج مما يزيد من منسوب المياه في الأنهار.06‏/11‏/2008,الفيضانات مياه لا تعرف الرحمة | صحيفة الخليج,https://www.alkhaleej.ae/%D9%85%D9%84%D8%AD%D9%82/%D8%A7%D9%84%D9%81%D9%8A%D8%B6%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D9%8A%D8%A7%D9%87-%D9%84%D8%A7-%D8%AA%D8%B9%D8%B1%D9%81-%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D8%A9,https://www.alkhaleej.ae › ملحق › الفيضانات-مياه-لا-تعر...,,الفيضان,ar,EG,70
2,ماذا ينتج عن الفيضانات في أسيا؟,الاجابة الصحيحة : انتشار الامراض التي تنتقل من خلال المياه نقص في المحاصيل الغذائية جرف التربة17‏/03‏/2022,ماذا ينتج عن الفيضانات في آسيا - ايجاز نت,https://2jaz.net/191491/%D9%85%D8%A7%D8%B0%D8%A7-%D9%8A%D9%86%D8%AA%D8%AC-%D8%B9%D9%86-%D8%A7%D9%84%D9%81%D9%8A%D8%B6%D8%A7%D9%86%D8%A7%D8%AA-%D9%81%D9%8A-%D8%A2%D8%B3%D9%8A%D8%A7,https://2jaz.net › ماذا-ينتج-عن-الفيضانات-في-آسيا,,الفيضان,ar,EG,70
3,ماذا يسبب الفيضان؟,· خسائر في الأرواح. · الانهيارات. · إتلاف الثروة الفلاحية والحيوانية. · انجراف التربة التربة.,الفيضانات وكيفية التوقي منها - الديوان الوطني للحماية المدنية,http://onpc.nat.tn/index.php/ar/22-recherche/51-innondations,http://onpc.nat.tn › 22-recherche › 51-innondations,,الفيضان,ar,EG,70
0,ماذا يعني جفاف الجسم؟,يحدث الجفاف عندما تستخدم أو تفقد سوائل أكثر من التي تتناولها ولا يوجد ماء كافٍ أو سوائل أخرى كافية في جسدك لأداء وظائفه الطبيعية. إذا لم تعوض السوائل المفقودة، فستُصاب بالجفاف. أي شخص مُعرض للإصابة بالجفاف، ولكن لا تكون الحالة خطيرة إلا لدى الأطفال الصغار وكبار السن.14‏/10‏/2021,الجفاف - الأعراض والأسباب - Mayo Clinic (مايو كلينك),https://www.mayoclinic.org/ar/diseases-conditions/dehydration/symptoms-causes/syc-20354086,https://www.mayoclinic.org › syc-20354086,,جفاف,ar,EG,71
1,ما هو علاج الجفاف؟,العلاج الفعال الوحيد للجفاف هو استبدال السوائل والكهارل المفقودة. أفضل طريقة لعلاج الجفاف تعتمد على العمر وشدة الجفاف وسببه. بالنسبة إلى الرُّضع والأطفال الذين أصيبوا بالجفاف بسبب الإسهال أو القيء أو الحُمّى، استخدِم محلولَ معالجة الجفاف الفموي بدون وصفة طبية.14‏/10‏/2021,الجفاف - التشخيص والعلاج - Mayo Clinic (مايو كلينك),https://www.mayoclinic.org/ar/diseases-conditions/dehydration/diagnosis-treatment/drc-20354092,https://www.mayoclinic.org › drc-20354092,,جفاف,ar,EG,71
2,كيف اعرف ان الطفل يعاني من الجفاف؟,أعراض الجفاف عند الرضع عدم القدرة على اللعب بالشكل المعتاد. قلة الدموع عند البكاء. تغيير أقل من 6 حفاضات رطبة خلال اليوم. إذا كان الجفاف ناتج عن الإصابة بالإسهال فستلاحظ أن البراز يكون رخوا.26‏/10‏/2020,الجفاف عند الرضع.. الأعراض والأسباب - العين الإخبارية,https://al-ain.com/article/dehydration-infants-symptoms-causes,https://al-ain.com › dehydration-infants-symptoms-causes,,جفاف,ar,EG,71
3,هل الجفاف يسبب الاسهال؟,متى يجب تلقي المساعدة عند الإصابة بالجفاف يُوصى بالتوجه إلى الطبيب إذا استمر التقيؤ والإسهال أكثر من يومين، كما يُوصى التوجه إلى الطبيب حتى قبل ذلك إذا رافق الجفاف كل من الأعراض الآتية: الحمى.22‏/09‏/2017,تعرف على طرق الوقاية من الجفاف عند الإصابة بالإسهال - ويب طب,https://www.webteb.com/articles/%D8%A7%D9%84%D9%88%D9%82%D8%A7%D9%8A%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D8%AC%D9%81%D8%A7%D9%81-%D8%A8%D8%B3%D8%A8%D8%A8-%D8%A7%D9%84%D8%A7%D8%B3%D9%87%D8%A7%D9%84_16807,https://www.webteb.com › articles › الوقاية-من-الجفاف-ب...,,جفاف,ar,EG,71
0,¿Qué ocasiona la malnutrición?,"La malnutrición, o las condiciones físicas indeseables o de enfermedad que se relacionan con la nutrición, se pueden deber a comer muy poco, demasiado, o por una dieta desequilibrada que no contiene todos los nutrientes necesarios para un buen estado nutricional.",Parte I: Causas de la malnutrición - FAO,https://www.fao.org/3/w0073s/w0073s05.htm,https://www.fao.org › ...,,Malnutrición,es,ES,53
1,¿Cuál es la diferencia entre desnutrición y malnutrición?,"Una persona sufre de desnutrición cuando tiene un déficit alimentario. Es decir, no come todo lo que debería. En cambio, un individuo malnutrido puede ingerir alimentos incluso en exceso, pero no son sanos.",¿Cuál es la diferencia entre malnutrición y desnutrición?,https://www.accioncontraelhambre.org/es/diferencia-malnutricion-desnutricion,https://www.accioncontraelhambre.org › diferencia-mal...,,Malnutrición,es,ES,53
2,¿Cómo detectar malnutrición?,,Signos y síntomas,https://labtestsonline.es/conditions/malnutricion,https://labtestsonline.es › conditions › malnutricion,"['En los niños, retraso o enlentecimiento del crecimiento, distensión del abdomen, apatía y languidez.', 'Anemia.', 'Pérdida de peso y de masa muscular, debilidad.', 'Piel seca y escamosa.', 'Acumulación de líquidos (edema).', 'Cabello frágil y fino.', 'Uñas quebradizas y malformadas (en forma de cuchara).']",Malnutrición,es,ES,53
0,¿Qué significa seguridad alimentaria?,"​​​​​​​​​​​​Según el CONPES Social 113 de 2008, la Seguridad Alimentaria Nacional se refiere a la disponibilidad suficiente y estable de alimentos, el acceso y el consumo oportuno y permanente de los mismos en cantidad, calidad e inocuidad por parte de todas las personas, bajo condiciones que permitan su adecuada ...",Seguridad Alimentaria y Nutricional - Departamento Nacional de ...,https://www.dnp.gov.co/programas/desarrollo-social/pol%C3%ADticas-sociales-transversales/Paginas/seguridad-alimentaria-y-nutricional.aspx,https://www.dnp.gov.co › desarrollo-social › Paginas › se...,,Seguridad alimentaria,es,ES,54
1,¿Qué es la seguridad alimentaria y porque es tan importante?,"La seguridad alimentaria busca evitar enfermedades adquiridas por la comida, afecciones de naturaleza infecciosa o tóxica. En su mayoría, las infecciones causadas por bacterias, virus, parásitos o sustancias químicas entran al organismo por los alimentos o agua contaminada.7 jun 2021",La importancia de la seguridad alimentaria - Mexico Social,https://www.mexicosocial.org/la-importancia-de-la-seguridad-alimentaria/,https://www.mexicosocial.org › la-importancia-de-la-segu...,,Seguridad alimentaria,es,ES,54
2,¿Cómo se logra la seguridad alimentaria?,"suministro suficiente de alimentos; estabilidad en el suministro de alimentos, durante todo el año y de un año a otro; acceso físico y económico a los alimentos, lo que requiere capacidad y recursos para producir u obtener todos los alimentos necesarios para el hogar y cada uno de sus miembros.",Mejoramiento de la seguridad alimentaria en el hogar - FAO,https://www.fao.org/3/w0073s/w0073s13.htm,https://www.fao.org › ...,,Seguridad alimentaria,es,ES,54
3,¿Cuáles son las 4 condiciones que exige la seguridad alimentaria?,"Las condiciones climáticas adversas (la sequía, las inundaciones), la inestabilidad política (el descontento social), o los factores económicos (el desempleo, los aumentos de los precios de los alimentos) pueden incidir en la condición de seguridad alimentaria de las personas.",Una introducción a los conceptos básicos de la seguridad ...,http://www.fao.org/3/al936s/al936s00.pdf,http://www.fao.org › ...,,Seguridad alimentaria,es,ES,54
0,¿Cuántas calorías de debe consumir al día?,Hombres: entre 2000 kcal y 2500 kcal. Mujeres: 2000 kcal.11 jun 2021,Cuántas calorías debo consumir al día - Según SEXO y EDAD | Welthy,https://www.welthy.es/magazine/cuantas-calorias-debo-consumir-al-dia/,https://www.welthy.es › magazine › cuantas-calorias-debo...,,Caloría,es,ES,56
1,¿Qué es una caloría en nutrición?,"Una caloría es una unidad de medida, pero esta no mide peso ni longitud. Una caloría es una unidad de energía. Cuando escuchas que algo contiene calorías, es una manera de describir la cantidad de energía que podría recibir tu cuerpo al consumir eso.",Aprendamos sobre las calorías (para Niños ) - Kids Health,https://kidshealth.org/es/kids/calorie.html,https://kidshealth.org › kids › calorie,,Caloría,es,ES,56
2,¿Qué es la caloría y cómo se mide?,"Pero, ¿sabes qué son exactamente las calorías? Pues una caloría es la cantidad de calor necesaria para elevar la temperatura de 1 gramo de agua de 14,5 a 15,5 grados centígrados a la presión normal.21 ene 2018",¿Qué son y cómo se miden las calorías que tanto nos obsesionan?,https://www.bbc.com/mundo/noticias-42709263,https://www.bbc.com › mundo › noticias-42709263,,Caloría,es,ES,56
3,¿Qué comida tiene calorías?,,"5 alimentos ricos en calorías, pero saludables",https://www.clikisalud.net/5-alimentos-saludables-calorias/,https://www.clikisalud.net › 5-alimentos-saludables-calorias,"['Frutos secos. Son saludables para el corazón, sobre todo las almendras, las nueces y las avellanas. ... ', 'Papas. Son una gran fuente de vitamina A y otros nutrientes. ... ', 'Aceite de oliva. Aunque es una grasa, es monoinsaturada. ... ', 'Plátanos. ... ', 'Aguacate.']",Caloría,es,ES,56
0,¿Qué es la energía renovable y ejemplos?,"Entendemos como energías renovables a toda aquella energía que es obtenida de una fuente natural y, virtualmente, inagotable. Estas fuentes se consideran inagotables por la gran cantidad de energía que poseen y porque se generan sin esfuerzo por parte de las personas; ejemplo de ello es el sol.17 feb 2021",¿Qué son las energías renovables? - CEUPE,https://www.ceupe.mx/blog/que-son-las-energias-renovables.html,https://www.ceupe.mx › que-son-las-energias-renovables,,Energía renovable,es,ES,58
1,¿Cuáles son los tipos de energías renovables?,"Entre los diferentes tipos de energías renovables encontramos los siguientes: energía hidráulica, energía eólica, energía solar, energía geotérmica, energía mareomotriz, energía de la biomasa.",Energías Renovables - Gobierno del Estado de Oaxaca,https://www.oaxaca.gob.mx/semaedeso/energias-renovables/,https://www.oaxaca.gob.mx › energias-renovables,,Energía renovable,es,ES,58
2,¿Qué es energía no renovable 5 ejemplos?,"Las energías no renovables son aquellas que provienen de fuentes de las que hay una cantidad limitada. Así que, cuando se terminan, no se pueden reponer. El petróleo, el carbón y el gas son las energías no renovables tradicionales que han movido el mundo desde la revolución industrial y, de hecho, todavía lo hacen.18 sept 2018",Energías renovables y no renovables - Energya,https://www.energyavm.es/energias-renovables-y-no-renovables/,https://www.energyavm.es › energias-renovables-y-no-ren...,,Energía renovable,es,ES,58
3,¿Por qué la energía renovable es importante?,"Debido a que durante su producción no emite gases de efecto invernadero, la energía renovable es una aliada imprescindible para mitigar el impacto de la sociedad en el medio ambiente. Esto ayuda a mitigar los efectos del cambio climático.",¿Cuáles son los beneficios de la energía renovable? - enel.pe,https://www.enel.pe/es/sostenibilidad/cuales-son-los-beneficios-de-la-energia-renovable.html,https://www.enel.pe › sostenibilidad › cuales-son-los-bene...,,Energía renovable,es,ES,58
0,¿Qué es el l calentamiento global?,El calentamiento global es un fenómeno que afecta a todos los seres vivos de nuestro planeta y cuyas consecuencias pueden ser desastrosas. Consiste en el aumento de la temperatura del sistema climático de La Tierra a largo plazo. Es la consecuencia más preocupante del cambio climático a la que nos enfrentamos.27 dic 2021,¿Qué es el calentamiento global? - CEUPE,https://www.ceupe.mx/blog/que-es-el-calentamiento-global.html,https://www.ceupe.mx › blog › que-es-el-calentamiento-gl...,,Calentamiento global,es,ES,59
1,¿Cuáles son las causas y consecuencias del calentamiento global?,"El calentamiento global y el cambio climático tienen coincidencia en la principal de sus causas, la emisión masiva de los diferentes gases de efecto invernadero o GEI que retienen el calor dentro de la atmósfera y sobre la superficie terrestre a través del denominado efecto invernadero.",Causas y consecuencias del calentamiento global - UNLP,https://unlp.edu.ar/frontend/media/89/27589/1d9aa068f3cd179c49096f2b8d9e9125.pdf,https://unlp.edu.ar › frontend › media,,Calentamiento global,es,ES,59
2,¿Cómo va el calentamiento global 2021?,"El 2021 empata como el sexto año más cálido en la tendencia de calentamiento, según un análisis de la NASA. Esta visualización de datos muestra las anomalías de temperatura global en la superficie del planeta en 2021. En regiones como el Ártico se pueden observar temperaturas más altas de lo normal, mostradas en rojo.13 ene 2022","2021 empató como sexto año más cálido, según un análisis de la ...",https://www.nasa.gov/press-release/el-2021-empata-como-el-sexto-a-o-m-s-c-lido-en-la-tendencia-de-calentamiento-seg-n-un,https://www.nasa.gov › press-release › el-2021-empata-co...,,Calentamiento global,es,ES,59
3,¿Cómo se inició el calentamiento global?,"Durante el último siglo, la quema de combustibles fósiles, como el carbón y el petróleo, ha aumentado la concentración de dióxido de carbono (CO2) en la atmósfera. Esto sucede porque el proceso de quema del carbón y del petróleo combina el carbono con el oxígeno del aire y forma el CO2.",Las causas del cambio climático,https://climate.nasa.gov/causas/,https://climate.nasa.gov › causas,,Calentamiento global,es,ES,59
0,¿Cuáles son las principales causas de la contaminación del suelo?,,Causas de la contaminación del suelo,https://residus.gencat.cat/es/ambits_dactuacio/sols_contaminats/causes_i_efectes_de_la_contaminacio_del_sol/causes_de_la_contaminacio_del_sol/,https://residus.gencat.cat › sols_contaminats › causes_de_l...,"['Almacenamiento incorrecto de productos y/o residuos en actividades industriales. ... ', 'Vertidos de residuos incontrolados. ... ', 'Escombros industriales. ... ', 'Bidones enterrados. ... ', 'Almacenamiento incorrecto de productos o residuos. ... ', 'Accidentes en el transporte de mercancías.']",Contaminación del suelo,es,ES,65
1,¿Qué es la contaminación del suelo consecuencias?,"La contaminación del suelo provoca una reacción en cadena. Altera la biodiversidad del suelo, reduciendo la materia orgánica que contiene y su capacidad para actuar como filtro. También se contamina el agua almacenada en el suelo y el agua subterránea, provocando un desequilibrio de sus nutrientes.2 may 2018",La contaminación de los suelos está contaminando nuestro ...,https://www.fao.org/fao-stories/article/es/c/1126977/,https://www.fao.org › fao-stories › article,,Contaminación del suelo,es,ES,65
2,¿Cuáles son los tipos de contaminantes del suelo?,"Entre los principales contaminantes del suelo se cuentan: Metales pesados, microorganismos patógenos, hidrocarburos, plaguicidas, basura, ácidos y aguas de relave, entre otros.",Los Principales Contaminantes del Suelo - Hidronor,https://www.hidronor.cl/los-principales-contaminantes-del-suelo/,https://www.hidronor.cl › los-principales-contaminantes-d...,,Contaminación del suelo,es,ES,65
3,¿Qué es la contaminacion del suelo causas y consecuencias?,"Los principales causantes de la contaminación del suelo son: los plásticos arrojados sin control, vertidos incontrolados de materia orgánica proveniente de depuradoras o actividades agropecuarias, aplicación de plaguicidas (insecticidas, herbicidas, fungicidas) sin seguir las instrucciones de seguridad o sustancias ...","Contaminación del suelo - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Contaminaci%C3%B3n_del_suelo,https://es.wikipedia.org › wiki › Contaminación_del_su...,,Contaminación del suelo,es,ES,65
0,¿Que entiende por infección?,"Invasión y multiplicación de gérmenes en el cuerpo. Los gérmenes pueden ser bacterias, virus, hongos u otros microorganismos. Las infecciones empiezan en cualquier parte del cuerpo y a veces se diseminan por todo el cuerpo.",Definición de infección - Diccionario de cáncer del NCI,https://www.cancer.gov/espanol/publicaciones/diccionarios/diccionario-cancer/def/infeccion,https://www.cancer.gov › diccionarios › def › infeccion,,Infección,es,ES,68
1,¿Cómo puedo saber si tengo infección?,,Conozca los signos y síntomas de una infección,https://www.cdc.gov/spanish/cancer/preventinfections/symptoms.htm,https://www.cdc.gov › preventinfections › symptoms,"['Fiebre (algunas veces es el único signo de infección).', 'Escalofríos y sudores.', 'Cambio en la tos o una nueva tos.', 'Dolor de garganta o úlceras en la boca nuevas.', 'Dificultad para respirar.', 'Congestión nasal.', 'Rigidez del cuello.', 'Ardor o dolor al orinar.']",Infección,es,ES,68
2,¿Qué es la infección según la OMS?,"Infección: Entrada, desarrollo y multiplicación de un agente infeccioso en el cuerpo de una persona o animal.",OPS/OMS | ANEXO I: Glosario - PAHO/WHO,https://www3.paho.org/hq/index.php?option=com_content&view=article&id=10810:2015-anexo-i-glosario&Itemid=41421&lang=es,https://www3.paho.org › ...,,Infección,es,ES,68
3,¿Qué es un infectólogo?,"La Infectología es una subespecialidad de la Medicina Interna, que se dedica al estudio y tratamiento de las enfermedades causadas por agentes infecciosos como virus, bacterias, parásitos y hongos.",Infectología - Clínica Santa María,https://www.clinicasantamaria.cl/especialidades/especialidad/infectologia,https://www.clinicasantamaria.cl › infectologia,,Infección,es,ES,68
